song_title,artist,rank_b
Heat Waves,Glass Animals,1
As It Was,Harry Styles,2
Stay,The Kid Laroi and Justin Bieber,3
Easy on Me,Adele,4
Shivers,Ed Sheeran,5
First Class,Jack Harlow,6
Big Energy,Latto,7
Ghost,Justin Bieber,8
Super Gremlin,Kodak Black,9
Cold Heart (Pnau Remix),Elton John and Dua Lipa,10
Wait for U,Future featuring Drake and Tems,11
About Damn Time,Lizzo,12
Bad Habits,Ed Sheeran,13
Thats What I Want,Lil Nas X,14
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons and JID,15
Industry Baby,Lil Nas X and Jack Harlow,16
ABCDEFU,Gayle,17
Need to Know,Doja Cat,18
Wasted on You,Morgan Wallen,19
Me Porto Bonito,Bad Bunny and Chencho Corleone,20
Woman,Doja Cat,21
Tití Me Preguntó,Bad Bunny,22
Running Up That Hill (A Deal with God),Kate Bush,23
We Don't Talk About Bruno,"Carolina Gaitán, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie 
Beatriz and the *Encanto* cast",24
Late Night Talking,Harry Styles,25
I Like You (A Happier Song),Post Malone featuring Doja Cat,26
You Proof,Morgan Wallen,27
Bad Habit,Steve Lacy,28
Sunroof,Nicky Youre and Dazy,29
One Right Now,Post Malone and the Weeknd,30
Good 4 U,Olivia Rodrigo,31
Numb Little Bug,Em Beihold,32
Jimmy Cooks,Drake featuring 21 Savage,33
'Til You Can't,Cody Johnson,34
Fancy Like,Walker Hayes,35
The Kind of Love We Make,Luke Combs,36
I Ain't Worried,OneRepublic,37
BREAK MY SOUL,Beyoncé,38
Something in the Orange,Zach Bryan,39
Save Your Tears,The Weeknd and Ariana Grande,40
Smokin out the Window,Silk Sonic (Bruno Mars and Anderson .Paak),41
Levitating,Dua Lipa,42
In a Minute,Lil Baby,43
Moscow Mule,Bad Bunny,44
You Right,Doja Cat and the Weeknd,45
She Had Me at Heads Carolina,Cole Swindell,46
Vegas,Doja Cat,47
Pushin P,Gunna and Future featuring Young Thug,48
Buy Dirt,Jordan Davis and Luke Bryan,49
I Hate U,SZA,50
Boyfriend,Dove Cameron,51
Glimpse of Us,Joji,52
Surface Pressure,Jessica Darrow,53
Fall in Love,Bailey Zimmerman,54
Love Nwantiti (Ah Ah Ah),CKay,55
Super Freaky Girl,Nicki Minaj,56
Hrs and Hrs,Muni Long,57
Sand in My Boots,Morgan Wallen,58
Mamiii,"Becky G, KAROL G",59
Knife Talk,Drake featuring 21 Savage and Project Pat,60
AA,Walker Hayes,61
Sweetest Pie,Megan Thee Stallion and Dua Lipa,62
Provenza,Karol G,63
Essence,Wizkid featuring Justin Bieber and Tems,64
All I Want for Christmas Is You,Mariah Carey,65
Bam Bam,"Camila Cabello, Ed Sheeran",66
5 Foot 9,Tyler Hubbard,67
Get Into It (Yuh),Doja Cat,68
Efecto,Bad Bunny,69
Rock and a Hard Place,Bailey Zimmerman,70
Doin' This,Luke Combs,71
Oh My God,Adele,72
Better Days,"Neiked, Mae Muller and Polo G",73
Meet Me at Our Spot,The Anxiety: Willow and Tyler Cole,74
Fingers Crossed,Lauren Spencer-Smith,75
All Too Well (Taylor's Version),Taylor Swift,76
Party,Bad Bunny and Rauw Alejandro,77
Después de la Playa,Bad Bunny,78
You Should Probably Leave,Chris Stapleton,79
Rockin' Around the Christmas Tree,Brenda Lee,80
Broadway Girls,Lil Durk featuring Morgan Wallen,81
Take My Name,Parmalee,82
What Happened to Virgil,Lil Durk featuring Gunna,83
Puffin on Zootiez,Future,84
Like I Love Country Music,Kane Brown,85
Jingle Bell Rock,Bobby Helms,86
Ojitos Lindos,Bad Bunny and Bomba Estéreo,87
Trouble with a Heartbreak,Jason Aldean,88
A Holly Jolly Christmas,Burl Ives,89
Kiss Me More,Doja Cat featuring SZA,90
She Likes It,Russell Dickerson featuring Jake Scott,91
Never Say Never,Cole Swindell and Lainey Wilson,92
Damn Strait,Scotty McCreery,93
She's All I Wanna Be,Tate McRae,94
Last Night Lonely,Jon Pardi,95
Flower Shops,Ernest featuring Morgan Wallen,96
To the Moon,Jnr Choi and Sam Tompkins,97
Unholy,Sam Smith and Kim Petras,98
One Mississippi,Kane Brown,99
Circles Around This Town,Maren Morris,100
